month,barangay,age,gender,employment_status,educational_attainment,current_skill,work_experience,desired_career,applied_course
11,Bacong,27,Male,Unemployed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
4,Balingasag,29,Male,Unemployed,Junior High,Carpentry,Agriculture,Construction,Carpentry NC II
11,Bacong,27,Male,Unemployed,Elementary Graduate,Driving,Retail,Transportation,Driving NC II
12,Dulao,48,Female,Wage Employed,College Undergraduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
3,Sagasa,22,Male,Underemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
2,Alianza,19,Male,Unemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
2,Busay,32,Male,Underemployed,Junior High,Driving,Agriculture,Transportation,Driving NC II
2,Tabunan,40,Female,Underemployed,Junior High,Electrical Repair,ICT,Construction,Electrical Installation and Maintenance NC II
8,Tabunan,48,Female,Wage Employed,College Graduate,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
4,Taloc,22,Female,Unemployed,Elementary Graduate,Cooking,Government,Business,Cookery NC II
9,Binubuhan,31,Female,Underemployed,Elementary Graduate,Welding,None,Construction,Shielded Metal Arc Welding NC I
11,Taloc,31,Male,Underemployed,Junior High,Electrical Repair,Construction,ICT,Electrical Installation and Maintenance NC II
5,Taloc,33,Male,Self-employed,Junior High,Masonry,Transportation,Business,Masonry NC II
8,Atipuluan,35,Male,Self-employed,Senior High,Driving,Business,Transportation,Driving NC II
4,Poblacion,20,Male,Unemployed,Elementary Graduate,Welding,Government,Construction,Shielded Metal Arc Welding NC I
10,Mailum,32,Female,Underemployed,Junior High,Computer Literacy,ICT,Transportation,Computer Systems Servicing NC II
11,Caridad,36,Female,Underemployed,College Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
4,Atipuluan,19,Male,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Ma-ao,25,Male,Self-employed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
8,Atipuluan,27,Male,Self-employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
12,Taloc,20,Male,Wage Employed,Elementary Graduate,Masonry,Agriculture,Construction,Masonry NC II
4,Pacol,43,Female,Underemployed,College Undergraduate,Cooking,Business,Hospitality,Cookery NC II
1,Caridad,29,Male,Unemployed,Senior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
7,Bacong,22,Male,Wage Employed,Junior High,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
3,Taloc,37,Male,Unemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
5,Abuanan,53,Female,Self-employed,College Graduate,Driving,Transportation,Business,Driving NC II
8,Atipuluan,39,Female,Unemployed,Junior High,Baking,Retail,Hospitality,Bread and Pastry NC II
4,Busay,39,Male,Self-employed,College Graduate,Cooking,Agriculture,Business,Cookery NC II
2,Napoles,36,Male,Unemployed,Elementary Graduate,Driving,Government,Agriculture,Driving NC II
1,Bagroy,47,Male,Wage Employed,College Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
11,Poblacion,29,Male,Underemployed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
4,Busay,27,Male,Unemployed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
5,Busay,36,Male,Wage Employed,College Undergraduate,Welding,Hospitality,Construction,Shielded Metal Arc Welding NC I
9,Napoles,33,Male,Self-employed,Senior High,Driving,Transportation,Transportation,Driving NC II
8,Bagroy,19,Male,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
9,Ma-ao,29,Male,Unemployed,Junior High,Baking,Hospitality,Business,Bread and Pastry NC II
1,Ma-ao,25,Male,Wage Employed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
11,Ilijan,49,Male,Wage Employed,College Graduate,Computer Literacy,Retail,Transportation,Computer Systems Servicing NC II
9,Balingasag,25,Male,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
5,Bacong,25,Female,Self-employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Ma-ao,48,Female,Self-employed,College Undergraduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
4,Abuanan,26,Male,Self-employed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
4,Taloc,55,Male,Wage Employed,College Graduate,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
4,Alianza,41,Male,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
4,Taloc,20,Male,Unemployed,Senior High,Driving,Retail,Transportation,Driving NC II
5,Ma-ao,32,Female,Self-employed,Senior High,Computer Literacy,Hospitality,Business,Computer Systems Servicing NC II
1,Ma-ao,32,Female,Self-employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
11,Abuanan,24,Male,Wage Employed,Senior High,Carpentry,Business,Construction,Carpentry NC II
3,Dulao,21,Female,Underemployed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Tabunan,27,Male,Unemployed,Junior High,Masonry,Agriculture,Construction,Masonry NC II
11,Calumangan,45,Male,Self-employed,Senior High,Driving,Transportation,Agriculture,Driving NC II
9,Bacong,47,Female,Underemployed,College Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
9,Poblacion,34,Male,Wage Employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
12,Pacol,33,Female,Wage Employed,College Undergraduate,Cooking,Government,Hospitality,Cookery NC II
1,Binubuhan,35,Female,Self-employed,College Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
7,Busay,39,Female,Wage Employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
7,Sagasa,29,Male,Underemployed,Elementary Graduate,Masonry,Agriculture,Construction,Masonry NC II
12,Atipuluan,53,Male,Wage Employed,College Graduate,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
1,Caridad,40,Male,Underemployed,Junior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
2,Poblacion,35,Male,Underemployed,Elementary Graduate,Driving,Business,Agriculture,Driving NC II
7,Binubuhan,44,Male,Underemployed,Senior High,Carpentry,Business,Construction,Carpentry NC II
2,Taloc,25,Male,Self-employed,Junior High,Electrical Repair,ICT,Construction,Electrical Installation and Maintenance NC II
7,Ma-ao,34,Male,Underemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
3,Bacong,37,Female,Self-employed,College Graduate,Driving,Transportation,Transportation,Driving NC II
3,Binubuhan,36,Female,Underemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
4,Dulao,26,Male,Unemployed,Senior High,Masonry,Construction,Construction,Masonry NC II
2,Napoles,31,Male,Wage Employed,College Graduate,Masonry,Construction,ICT,Masonry NC II
12,Bagroy,45,Male,Self-employed,Senior High,Driving,Retail,Transportation,Driving NC II
9,Binubuhan,38,Female,Self-employed,Junior High,Driving,Government,Transportation,Driving NC II
6,Mailum,45,Male,Self-employed,College Graduate,Masonry,Construction,Hospitality,Masonry NC II
10,Ma-ao,40,Male,Self-employed,Senior High,Masonry,Construction,Agriculture,Masonry NC II
6,Busay,45,Female,Wage Employed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Bacong,34,Female,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
6,Poblacion,27,Male,Underemployed,Junior High,Masonry,Construction,Construction,Masonry NC II
7,Poblacion,37,Male,Unemployed,Junior High,Masonry,Construction,Construction,Masonry NC II
8,Ma-ao,24,Male,Underemployed,Junior High,Driving,Hospitality,Transportation,Driving NC II
2,Bacong,27,Female,Underemployed,College Undergraduate,Baking,Retail,Hospitality,Bread and Pastry NC II
5,Ma-ao,30,Male,Unemployed,Junior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Ma-ao,31,Male,Unemployed,Junior High,Computer Literacy,Government,Agriculture,Computer Systems Servicing NC II
5,Taloc,26,Male,Self-employed,College Undergraduate,Carpentry,None,Business,Carpentry NC II
4,Calumangan,26,Male,Unemployed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
7,Taloc,29,Male,Underemployed,Junior High,Masonry,Manufacturing,Construction,Masonry NC II
2,Mailum,19,Male,Unemployed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
5,Tabunan,27,Male,Self-employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
12,Bacong,25,Male,Unemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
10,Atipuluan,50,Male,Wage Employed,College Graduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
2,Ma-ao,37,Female,Unemployed,College Graduate,Baking,Hospitality,Business,Bread and Pastry NC II
3,Busay,48,Female,Self-employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
8,Poblacion,46,Female,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
9,Pacol,32,Male,Underemployed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
8,Ilijan,38,Male,Underemployed,College Graduate,Driving,Transportation,Business,Driving NC II
7,Abuanan,18,Female,Unemployed,Elementary Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
12,Caridad,25,Female,Underemployed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Tabunan,19,Male,Unemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
3,Taloc,28,Male,Self-employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
9,Alianza,44,Female,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Mailum,22,Female,Underemployed,Junior High,Driving,Retail,Transportation,Driving NC II
7,Ma-ao,18,Male,Underemployed,Senior High,Cooking,Business,Hospitality,Cookery NC II
3,Taloc,33,Female,Unemployed,Elementary Graduate,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
12,Tabunan,26,Female,Wage Employed,Elementary Graduate,Computer Literacy,Government,Business,Computer Systems Servicing NC II
5,Malingin,25,Male,Underemployed,Elementary Graduate,Carpentry,Agriculture,Construction,Carpentry NC II
4,Balingasag,22,Male,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
6,Atipuluan,19,Male,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
10,Taloc,33,Female,Underemployed,Senior High,Carpentry,Government,Construction,Carpentry NC II
9,Abuanan,21,Male,Self-employed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
12,Mailum,27,Male,Underemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
8,Tabunan,44,Female,Self-employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
4,Ilijan,38,Male,Underemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
5,Poblacion,37,Male,Unemployed,Junior High,Electrical Repair,Business,Construction,Electrical Installation and Maintenance NC II
12,Dulao,30,Male,Unemployed,College Graduate,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
3,Alianza,40,Male,Unemployed,Elementary Graduate,Carpentry,Agriculture,Agriculture,Carpentry NC II
6,Bacong,44,Male,Unemployed,College Undergraduate,Driving,Agriculture,Transportation,Driving NC II
3,Taloc,27,Male,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Abuanan,27,Male,Unemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Dulao,30,Female,Unemployed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Ma-ao,39,Female,Underemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Caridad,26,Female,Self-employed,College Undergraduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
11,Poblacion,48,Male,Wage Employed,College Graduate,Driving,Transportation,Transportation,Driving NC II
4,Ma-ao,46,Female,Underemployed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
3,Balingasag,42,Female,Wage Employed,College Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
3,Calumangan,18,Female,Underemployed,Senior High,Driving,Agriculture,Transportation,Driving NC II
7,Balingasag,20,Female,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Lag-asan,20,Male,Unemployed,Junior High,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
10,Dulao,25,Male,Unemployed,College Undergraduate,Computer Literacy,None,ICT,Computer Systems Servicing NC II
4,Mailum,36,Male,Unemployed,Junior High,Driving,ICT,Transportation,Driving NC II
9,Napoles,20,Male,Wage Employed,Senior High,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
5,Poblacion,39,Male,Wage Employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
12,Ilijan,31,Female,Unemployed,Junior High,Driving,Hospitality,Business,Driving NC II
6,Pacol,29,Male,Self-employed,Elementary Graduate,Driving,Construction,Transportation,Driving NC II
12,Taloc,46,Male,Wage Employed,College Undergraduate,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
2,Atipuluan,28,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Mailum,37,Male,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
5,Napoles,26,Female,Wage Employed,College Undergraduate,Driving,Business,Transportation,Driving NC II
10,Ma-ao,27,Male,Self-employed,Junior High,Carpentry,Retail,Construction,Carpentry NC II
11,Ma-ao,24,Male,Underemployed,Junior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
4,Abuanan,24,Female,Self-employed,Senior High,Baking,Retail,Hospitality,Bread and Pastry NC II
5,Lag-asan,29,Male,Unemployed,College Undergraduate,Cooking,Business,Hospitality,Cookery NC II
3,Dulao,26,Male,Underemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
2,Pacol,31,Male,Unemployed,Elementary Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
11,Busay,39,Female,Wage Employed,College Graduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
7,Busay,26,Female,Underemployed,Junior High,Computer Literacy,Transportation,Business,Computer Systems Servicing NC II
11,Taloc,38,Male,Wage Employed,College Undergraduate,Driving,Hospitality,Transportation,Driving NC II
5,Pacol,23,Male,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
6,Sagasa,24,Male,Self-employed,Junior High,Cooking,Business,Hospitality,Cookery NC II
12,Caridad,31,Female,Unemployed,Elementary Graduate,Driving,Transportation,Business,Driving NC II
10,Busay,48,Female,Self-employed,College Undergraduate,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
3,Busay,42,Male,Self-employed,Junior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
6,Caridad,35,Male,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
4,Bagroy,22,Male,Unemployed,Junior High,Driving,Government,Transportation,Driving NC II
3,Malingin,43,Female,Underemployed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
2,Bagroy,20,Male,Unemployed,Elementary Graduate,Cooking,Business,Hospitality,Cookery NC II
10,Bagroy,36,Female,Underemployed,Junior High,Driving,Agriculture,Transportation,Driving NC II
5,Bagroy,42,Female,Self-employed,College Undergraduate,Computer Literacy,Transportation,ICT,Computer Systems Servicing NC II
12,Mailum,21,Male,Underemployed,Elementary Graduate,Cooking,Agriculture,Hospitality,Cookery NC II
9,Busay,20,Male,Underemployed,Junior High,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
2,Ma-ao,41,Male,Wage Employed,College Undergraduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Sagasa,22,Male,Wage Employed,College Graduate,Driving,Agriculture,Transportation,Driving NC II
12,Tabunan,35,Male,Unemployed,Elementary Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Bagroy,26,Female,Underemployed,Elementary Graduate,Baking,None,Hospitality,Bread and Pastry NC II
8,Ma-ao,28,Male,Self-employed,Senior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
3,Binubuhan,33,Female,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
4,Alianza,35,Male,Self-employed,Senior High,Driving,ICT,Transportation,Driving NC II
1,Calumangan,34,Male,Wage Employed,Elementary Graduate,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
4,Ilijan,38,Male,Underemployed,Junior High,Computer Literacy,Government,Business,Computer Systems Servicing NC II
11,Lag-asan,37,Male,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
5,Taloc,34,Male,Self-employed,Senior High,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
12,Poblacion,45,Male,Self-employed,Senior High,Baking,Hospitality,Agriculture,Bread and Pastry NC II
9,Ilijan,31,Female,Self-employed,Senior High,Driving,Business,Business,Driving NC II
12,Ma-ao,28,Male,Wage Employed,Junior High,Driving,Transportation,Transportation,Driving NC II
10,Lag-asan,42,Male,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
10,Bagroy,41,Male,Unemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
9,Ma-ao,20,Male,Underemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
1,Poblacion,18,Male,Underemployed,Junior High,Computer Literacy,Transportation,Business,Computer Systems Servicing NC II
2,Taloc,35,Female,Unemployed,Senior High,Baking,Retail,Hospitality,Bread and Pastry NC II
9,Bacong,20,Male,Self-employed,Junior High,Driving,None,Transportation,Driving NC II
10,Taloc,30,Female,Unemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
12,Caridad,41,Female,Wage Employed,Junior High,Baking,Retail,Hospitality,Bread and Pastry NC II
1,Bacong,34,Male,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
6,Dulao,43,Female,Unemployed,College Undergraduate,Cooking,Government,Business,Cookery NC II
9,Dulao,27,Male,Unemployed,Senior High,Carpentry,Government,Construction,Carpentry NC II
6,Poblacion,18,Male,Wage Employed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
12,Dulao,41,Male,Unemployed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
3,Ma-ao,40,Male,Wage Employed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Pacol,35,Male,Underemployed,Elementary Graduate,Masonry,Agriculture,Construction,Masonry NC II
9,Busay,37,Male,Unemployed,College Graduate,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
7,Taloc,25,Male,Self-employed,Senior High,Masonry,Manufacturing,Business,Masonry NC II
9,Balingasag,31,Male,Unemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
5,Abuanan,30,Female,Unemployed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
3,Ma-ao,34,Male,Unemployed,Senior High,Computer Literacy,Manufacturing,ICT,Computer Systems Servicing NC II
3,Taloc,33,Male,Underemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
5,Poblacion,21,Female,Unemployed,Junior High,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
9,Lag-asan,27,Female,Unemployed,Senior High,Cooking,Retail,Hospitality,Cookery NC II
10,Tabunan,18,Male,Unemployed,Senior High,Baking,Construction,Hospitality,Bread and Pastry NC II
5,Mailum,30,Female,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
9,Calumangan,31,Male,Underemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
9,Abuanan,38,Male,Wage Employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Caridad,23,Male,Unemployed,Elementary Graduate,Carpentry,Business,Construction,Carpentry NC II
11,Poblacion,21,Female,Underemployed,Senior High,Cooking,Transportation,Business,Cookery NC II
10,Balingasag,27,Male,Underemployed,Junior High,Masonry,Agriculture,Construction,Masonry NC II
3,Lag-asan,22,Male,Unemployed,Junior High,Carpentry,Agriculture,Business,Carpentry NC II
7,Lag-asan,33,Male,Underemployed,College Graduate,Computer Literacy,Government,Business,Computer Systems Servicing NC II
9,Bacong,45,Male,Wage Employed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
8,Bacong,49,Male,Underemployed,College Graduate,Masonry,Construction,Construction,Masonry NC II
3,Balingasag,18,Male,Unemployed,Senior High,Carpentry,Business,Construction,Carpentry NC II
3,Caridad,50,Female,Self-employed,College Graduate,Welding,Construction,ICT,Shielded Metal Arc Welding NC I
4,Mailum,24,Male,Underemployed,College Graduate,Driving,Business,Business,Driving NC II
9,Binubuhan,19,Female,Self-employed,Elementary Graduate,Driving,Agriculture,Transportation,Driving NC II
5,Mailum,38,Male,Unemployed,College Undergraduate,Masonry,Agriculture,Business,Masonry NC II
4,Caridad,26,Female,Underemployed,College Undergraduate,Carpentry,Agriculture,Construction,Carpentry NC II
7,Lag-asan,39,Female,Self-employed,Senior High,Driving,Transportation,Transportation,Driving NC II
9,Poblacion,24,Male,Underemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
10,Caridad,45,Male,Underemployed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
10,Caridad,26,Male,Wage Employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
4,Balingasag,39,Male,Underemployed,College Graduate,Cooking,Agriculture,Hospitality,Cookery NC II
6,Dulao,43,Male,Self-employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
9,Ilijan,21,Male,Self-employed,Senior High,Driving,Agriculture,Transportation,Driving NC II
5,Busay,28,Male,Unemployed,Elementary Graduate,Cooking,Business,Hospitality,Cookery NC II
12,Napoles,29,Male,Unemployed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
6,Napoles,45,Female,Self-employed,College Undergraduate,Cooking,Agriculture,ICT,Cookery NC II
12,Poblacion,19,Male,Underemployed,College Undergraduate,Baking,Retail,Agriculture,Bread and Pastry NC II
3,Ma-ao,18,Male,Unemployed,Senior High,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
7,Poblacion,28,Female,Wage Employed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
5,Tabunan,31,Female,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
2,Bacong,23,Male,Self-employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
4,Atipuluan,26,Female,Underemployed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
12,Caridad,19,Male,Self-employed,Senior High,Driving,Hospitality,Transportation,Driving NC II
7,Taloc,33,Female,Underemployed,Junior High,Masonry,Construction,Construction,Masonry NC II
2,Taloc,40,Female,Unemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
12,Atipuluan,22,Male,Unemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
3,Mailum,30,Female,Unemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
12,Taloc,26,Male,Wage Employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
8,Balingasag,33,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
7,Balingasag,36,Female,Unemployed,Elementary Graduate,Electrical Repair,ICT,Business,Electrical Installation and Maintenance NC II
4,Calumangan,25,Female,Underemployed,Elementary Graduate,Carpentry,Manufacturing,Construction,Carpentry NC II
1,Busay,38,Male,Unemployed,Senior High,Computer Literacy,ICT,Business,Computer Systems Servicing NC II
10,Abuanan,45,Male,Underemployed,College Undergraduate,Baking,Retail,Hospitality,Bread and Pastry NC II
9,Bacong,34,Male,Self-employed,College Undergraduate,Cooking,Construction,Business,Cookery NC II
1,Bagroy,41,Female,Self-employed,Senior High,Computer Literacy,Government,Transportation,Computer Systems Servicing NC II
9,Binubuhan,22,Male,Unemployed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
10,Poblacion,30,Male,Underemployed,Senior High,Electrical Repair,Agriculture,Business,Electrical Installation and Maintenance NC II
6,Ma-ao,32,Male,Wage Employed,College Graduate,Carpentry,Agriculture,Business,Carpentry NC II
10,Balingasag,36,Female,Wage Employed,Senior High,Baking,Business,Business,Bread and Pastry NC II
3,Pacol,40,Female,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
12,Calumangan,41,Female,Underemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Dulao,27,Male,Unemployed,Senior High,Carpentry,Government,Construction,Carpentry NC II
10,Sagasa,39,Female,Wage Employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Tabunan,26,Male,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
6,Caridad,51,Male,Unemployed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Taloc,22,Male,Wage Employed,Senior High,Driving,Transportation,Transportation,Driving NC II
4,Abuanan,20,Female,Underemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
4,Busay,22,Female,Underemployed,College Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Ma-ao,27,Female,Underemployed,Junior High,Computer Literacy,Hospitality,Business,Computer Systems Servicing NC II
9,Bacong,21,Male,Unemployed,Elementary Graduate,Driving,Agriculture,Transportation,Driving NC II
9,Ma-ao,33,Female,Wage Employed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
2,Mailum,20,Female,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
4,Bacong,27,Male,Underemployed,Senior High,Carpentry,Construction,Hospitality,Carpentry NC II
11,Binubuhan,18,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
2,Poblacion,31,Female,Self-employed,Junior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Bacong,24,Male,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
12,Pacol,35,Male,Self-employed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Mailum,35,Female,Wage Employed,College Undergraduate,Cooking,Retail,Agriculture,Cookery NC II
5,Ma-ao,29,Male,Self-employed,College Graduate,Electrical Repair,Manufacturing,Business,Electrical Installation and Maintenance NC II
9,Malingin,35,Male,Wage Employed,College Graduate,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
3,Taloc,23,Female,Wage Employed,Senior High,Computer Literacy,Business,Business,Computer Systems Servicing NC II
9,Busay,39,Male,Unemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
8,Atipuluan,50,Female,Underemployed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
3,Busay,36,Female,Unemployed,College Undergraduate,Carpentry,None,Business,Carpentry NC II
1,Balingasag,29,Male,Wage Employed,Senior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
11,Pacol,27,Male,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
11,Ma-ao,22,Male,Wage Employed,Junior High,Driving,Hospitality,Transportation,Driving NC II
9,Alianza,36,Male,Underemployed,Senior High,Driving,Government,Transportation,Driving NC II
11,Mailum,32,Female,Underemployed,Senior High,Baking,Retail,Hospitality,Bread and Pastry NC II
9,Busay,26,Female,Underemployed,Elementary Graduate,Driving,Agriculture,Transportation,Driving NC II
10,Abuanan,48,Female,Underemployed,College Graduate,Cooking,Agriculture,Hospitality,Cookery NC II
8,Pacol,30,Female,Wage Employed,Senior High,Baking,None,Hospitality,Bread and Pastry NC II
3,Ma-ao,37,Female,Unemployed,College Graduate,Cooking,Retail,Hospitality,Cookery NC II
7,Ilijan,20,Female,Unemployed,College Undergraduate,Welding,None,Construction,Shielded Metal Arc Welding NC I
