barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Balingasag,Carpentry NC II,28,Male,Senior High,Self-employed,Carpentry,Hospitality,Experienced Worker,Graduate
Abuanan,Bread and Pastry NC II,18,Male,Senior High,Underemployed,Baking,Hospitality,Experienced Worker,Graduate
Balingasag,Electrical Installation and Maintenance NC II,26,Male,Junior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Abuanan,Shielded Metal Arc Welding NC I,34,Male,College Graduate,Self-employed,Welding,Construction,Experienced Worker,Graduate
Sagasa,Masonry NC II,22,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Dropout
Atipuluan,Driving NC II,50,Male,College Graduate,Unemployed,Driving,Transportation,New Entrant,Graduate
Calumangan,Masonry NC II,22,Male,Senior High,Underemployed,Masonry,Construction,Career Shifter,Graduate
Ilijan,Bread and Pastry NC II,20,Female,Junior High,Underemployed,Baking,Hospitality,Career Shifter,Dropout
Malingin,Carpentry NC II,40,Male,Senior High,Underemployed,Carpentry,Construction,Career Shifter,Graduate
Dulao,Shielded Metal Arc Welding NC I,21,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Poblacion,Bread and Pastry NC II,38,Male,Senior High,Self-employed,Baking,Hospitality,Career Shifter,Graduate
Abuanan,Shielded Metal Arc Welding NC I,35,Male,Senior High,Wage Employed,Welding,Construction,Experienced Worker,Graduate
Lag-asan,Driving NC II,24,Male,College Undergraduate,Unemployed,Driving,ICT,New Entrant,Graduate
Tabunan,Driving NC II,27,Female,College Undergraduate,Unemployed,Driving,Transportation,Returning Learner,Graduate
Ma-ao,Bread and Pastry NC II,23,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Returning Learner,Graduate
Abuanan,Carpentry NC II,37,Male,College Undergraduate,Self-employed,Carpentry,Construction,Returning Learner,Graduate
Poblacion,Bread and Pastry NC II,20,Female,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Taloc,Shielded Metal Arc Welding NC I,30,Male,Senior High,Underemployed,Welding,Construction,Experienced Worker,Graduate
Alianza,Cookery NC II,44,Male,College Undergraduate,Wage Employed,Cooking,Construction,Career Shifter,Graduate
Pacol,Computer Systems Servicing NC II,50,Male,College Graduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Atipuluan,Masonry NC II,35,Male,Senior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Abuanan,Driving NC II,39,Male,Senior High,Underemployed,Driving,Transportation,Career Shifter,Dropout
Abuanan,Bread and Pastry NC II,28,Female,Senior High,Underemployed,Baking,Hospitality,Career Shifter,Dropout
Busay,Masonry NC II,22,Female,Junior High,Underemployed,Masonry,Construction,Returning Learner,Dropout
Lag-asan,Driving NC II,40,Male,Junior High,Unemployed,Driving,Transportation,Career Shifter,Dropout
Mailum,Electrical Installation and Maintenance NC II,33,Male,Junior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Pacol,Bread and Pastry NC II,34,Female,College Undergraduate,Underemployed,Baking,Hospitality,Experienced Worker,Graduate
Ma-ao,Computer Systems Servicing NC II,34,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,Returning Learner,Dropout
Taloc,Masonry NC II,40,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Bagroy,Computer Systems Servicing NC II,30,Male,College Undergraduate,Unemployed,Computer Literacy,ICT,New Entrant,Graduate
Bagroy,Driving NC II,22,Male,Elementary Graduate,Unemployed,Driving,Transportation,Returning Learner,Graduate
Pacol,Shielded Metal Arc Welding NC I,37,Female,Junior High,Unemployed,Welding,Hospitality,New Entrant,Graduate
Poblacion,Cookery NC II,41,Female,Senior High,Underemployed,Cooking,Hospitality,Returning Learner,Graduate
Calumangan,Shielded Metal Arc Welding NC I,19,Female,Senior High,Underemployed,Welding,Construction,New Entrant,Dropout
Dulao,Cookery NC II,26,Male,Elementary Graduate,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Taloc,Bread and Pastry NC II,35,Female,College Graduate,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Ma-ao,Driving NC II,39,Male,College Undergraduate,Underemployed,Driving,Business,New Entrant,Graduate
Taloc,Carpentry NC II,28,Male,Junior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Poblacion,Masonry NC II,19,Male,Junior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Poblacion,Driving NC II,44,Male,College Graduate,Wage Employed,Driving,Hospitality,Career Shifter,Graduate
Lag-asan,Carpentry NC II,34,Male,Elementary Graduate,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Napoles,Carpentry NC II,32,Male,Senior High,Underemployed,Carpentry,Construction,Returning Learner,Dropout
Atipuluan,Bread and Pastry NC II,35,Female,College Undergraduate,Unemployed,Baking,Hospitality,Experienced Worker,Graduate
Binubuhan,Computer Systems Servicing NC II,49,Male,College Graduate,Underemployed,Computer Literacy,ICT,Career Shifter,Dropout
Taloc,Bread and Pastry NC II,21,Male,Junior High,Wage Employed,Baking,Construction,Experienced Worker,Graduate
Dulao,Driving NC II,27,Male,Junior High,Unemployed,Driving,Hospitality,New Entrant,Graduate
Abuanan,Bread and Pastry NC II,32,Male,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Napoles,Cookery NC II,22,Female,Elementary Graduate,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Lag-asan,Cookery NC II,19,Male,Elementary Graduate,Wage Employed,Cooking,Hospitality,Returning Learner,Graduate
Atipuluan,Bread and Pastry NC II,20,Male,Senior High,Unemployed,Electrical Repair,Construction,Returning Learner,Graduate
Balingasag,Carpentry NC II,21,Female,Senior High,Underemployed,Carpentry,Construction,Career Shifter,Dropout
Atipuluan,Computer Systems Servicing NC II,52,Male,College Graduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Abuanan,Carpentry NC II,30,Male,Senior High,Self-employed,Carpentry,Construction,New Entrant,Graduate
Mailum,Bread and Pastry NC II,24,Female,College Undergraduate,Self-employed,Baking,Business,Experienced Worker,Graduate
Lag-asan,Shielded Metal Arc Welding NC I,19,Male,Elementary Graduate,Unemployed,Welding,Construction,Experienced Worker,Graduate
Pacol,Bread and Pastry NC II,23,Male,Junior High,Underemployed,Baking,Hospitality,New Entrant,Dropout
Napoles,Electrical Installation and Maintenance NC II,36,Male,Senior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Dropout
Sagasa,Shielded Metal Arc Welding NC I,22,Male,Senior High,Unemployed,Welding,Construction,New Entrant,Dropout
Alianza,Computer Systems Servicing NC II,38,Female,Junior High,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Poblacion,Shielded Metal Arc Welding NC I,25,Male,College Undergraduate,Wage Employed,Welding,Construction,Career Shifter,Dropout
Napoles,Cookery NC II,53,Male,College Graduate,Underemployed,Cooking,ICT,Returning Learner,Graduate
Balingasag,Masonry NC II,31,Male,Senior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Taloc,Computer Systems Servicing NC II,28,Male,College Graduate,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Alianza,Masonry NC II,21,Male,Elementary Graduate,Self-employed,Masonry,Construction,Experienced Worker,Dropout
Alianza,Electrical Installation and Maintenance NC II,33,Female,Junior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Calumangan,Driving NC II,25,Male,Junior High,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Lag-asan,Driving NC II,19,Male,Senior High,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Ma-ao,Electrical Installation and Maintenance NC II,26,Male,College Undergraduate,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Taloc,Cookery NC II,23,Female,Elementary Graduate,Unemployed,Cooking,Hospitality,New Entrant,Graduate
Atipuluan,Shielded Metal Arc Welding NC I,42,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Dropout
Sagasa,Driving NC II,35,Male,Senior High,Self-employed,Baking,Transportation,Career Shifter,Graduate
Pacol,Bread and Pastry NC II,25,Female,Senior High,Underemployed,Baking,Hospitality,Returning Learner,Graduate
Malingin,Electrical Installation and Maintenance NC II,38,Male,Senior High,Wage Employed,Electrical Repair,Construction,Career Shifter,Dropout
Abuanan,Driving NC II,20,Male,Senior High,Underemployed,Driving,Transportation,New Entrant,Dropout
Taloc,Bread and Pastry NC II,31,Male,Junior High,Unemployed,Carpentry,Construction,Career Shifter,Dropout
Ma-ao,Computer Systems Servicing NC II,21,Male,Junior High,Self-employed,Baking,Hospitality,Experienced Worker,Dropout
Bacong,Masonry NC II,19,Male,College Undergraduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Atipuluan,Computer Systems Servicing NC II,22,Female,Senior High,Self-employed,Computer Literacy,Construction,Experienced Worker,Graduate
Abuanan,Shielded Metal Arc Welding NC I,31,Female,College Undergraduate,Underemployed,Welding,Construction,New Entrant,Graduate
Bagroy,Shielded Metal Arc Welding NC I,23,Male,Elementary Graduate,Underemployed,Welding,Construction,Experienced Worker,Graduate
Tabunan,Carpentry NC II,31,Male,Junior High,Underemployed,Carpentry,Construction,New Entrant,Dropout
Ma-ao,Carpentry NC II,37,Male,Senior High,Unemployed,Carpentry,Construction,Returning Learner,Dropout
Balingasag,Cookery NC II,21,Female,College Undergraduate,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Lag-asan,Cookery NC II,28,Male,Senior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Bacong,Masonry NC II,26,Male,College Graduate,Underemployed,Masonry,Construction,Returning Learner,Graduate
Taloc,Electrical Installation and Maintenance NC II,31,Male,Senior High,Wage Employed,Electrical Repair,Agriculture,Experienced Worker,Graduate
Bacong,Cookery NC II,32,Female,Elementary Graduate,Wage Employed,Baking,Hospitality,Returning Learner,Graduate
Busay,Cookery NC II,28,Male,College Undergraduate,Underemployed,Driving,Hospitality,New Entrant,Graduate
Napoles,Computer Systems Servicing NC II,45,Male,Senior High,Unemployed,Computer Literacy,ICT,Experienced Worker,Dropout
Abuanan,Bread and Pastry NC II,49,Female,College Graduate,Underemployed,Baking,Hospitality,New Entrant,Graduate
Ma-ao,Electrical Installation and Maintenance NC II,19,Male,Elementary Graduate,Unemployed,Electrical Repair,Business,Experienced Worker,Graduate
Balingasag,Masonry NC II,32,Male,Senior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Napoles,Electrical Installation and Maintenance NC II,25,Male,Elementary Graduate,Underemployed,Electrical Repair,Construction,Returning Learner,Dropout
Balingasag,Shielded Metal Arc Welding NC I,35,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Bagroy,Electrical Installation and Maintenance NC II,30,Male,Junior High,Underemployed,Welding,Hospitality,Career Shifter,Graduate
Bacong,Masonry NC II,22,Female,Senior High,Unemployed,Masonry,Construction,New Entrant,Graduate
Binubuhan,Carpentry NC II,20,Male,Senior High,Unemployed,Carpentry,Construction,New Entrant,Graduate
Tabunan,Shielded Metal Arc Welding NC I,32,Male,Elementary Graduate,Unemployed,Welding,Construction,New Entrant,Dropout
Calumangan,Computer Systems Servicing NC II,31,Female,Junior High,Unemployed,Computer Literacy,Agriculture,New Entrant,Graduate
Abuanan,Shielded Metal Arc Welding NC I,37,Male,Senior High,Unemployed,Welding,Construction,Returning Learner,Graduate
Abuanan,Cookery NC II,36,Female,Senior High,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Atipuluan,Masonry NC II,40,Male,Senior High,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Balingasag,Computer Systems Servicing NC II,41,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Caridad,Bread and Pastry NC II,18,Male,Senior High,Unemployed,Baking,Hospitality,Returning Learner,Graduate
Ilijan,Driving NC II,33,Male,Senior High,Unemployed,Driving,Transportation,Returning Learner,Graduate
Abuanan,Electrical Installation and Maintenance NC II,24,Male,College Undergraduate,Underemployed,Electrical Repair,Construction,Experienced Worker,Graduate
Ma-ao,Computer Systems Servicing NC II,26,Female,Senior High,Self-employed,Computer Literacy,ICT,Experienced Worker,Dropout
Lag-asan,Computer Systems Servicing NC II,33,Male,Senior High,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Alianza,Bread and Pastry NC II,23,Female,College Graduate,Wage Employed,Baking,Hospitality,Returning Learner,Dropout
Balingasag,Shielded Metal Arc Welding NC I,38,Male,Elementary Graduate,Wage Employed,Welding,Construction,New Entrant,Graduate
Ilijan,Masonry NC II,31,Female,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Graduate
Napoles,Shielded Metal Arc Welding NC I,29,Male,Elementary Graduate,Underemployed,Welding,Construction,Experienced Worker,Graduate
Caridad,Carpentry NC II,27,Male,Junior High,Underemployed,Carpentry,Construction,New Entrant,Graduate
Calumangan,Bread and Pastry NC II,29,Male,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Balingasag,Computer Systems Servicing NC II,20,Female,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Taloc,Driving NC II,31,Male,College Undergraduate,Wage Employed,Driving,ICT,Career Shifter,Graduate
Lag-asan,Computer Systems Servicing NC II,30,Male,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Atipuluan,Computer Systems Servicing NC II,49,Male,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Lag-asan,Driving NC II,31,Male,Junior High,Underemployed,Driving,Transportation,Experienced Worker,Graduate
Malingin,Cookery NC II,30,Female,College Undergraduate,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Lag-asan,Electrical Installation and Maintenance NC II,45,Male,Senior High,Self-employed,Electrical Repair,Construction,New Entrant,Graduate
Lag-asan,Bread and Pastry NC II,19,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Caridad,Shielded Metal Arc Welding NC I,31,Male,College Graduate,Wage Employed,Welding,Construction,Experienced Worker,Dropout
Poblacion,Carpentry NC II,21,Male,Senior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Poblacion,Masonry NC II,23,Male,Senior High,Unemployed,Masonry,Construction,Experienced Worker,Graduate
Ma-ao,Shielded Metal Arc Welding NC I,23,Male,Junior High,Underemployed,Welding,Construction,Career Shifter,Graduate
Dulao,Shielded Metal Arc Welding NC I,36,Male,Senior High,Underemployed,Welding,Construction,Returning Learner,Graduate
Caridad,Cookery NC II,36,Female,Senior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Alianza,Shielded Metal Arc Welding NC I,41,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Dulao,Electrical Installation and Maintenance NC II,23,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Dropout
Balingasag,Shielded Metal Arc Welding NC I,31,Male,College Undergraduate,Underemployed,Welding,Construction,Experienced Worker,Graduate
Ilijan,Masonry NC II,26,Male,Junior High,Underemployed,Masonry,Construction,New Entrant,Dropout
Balingasag,Masonry NC II,21,Male,Senior High,Underemployed,Masonry,Business,Returning Learner,Graduate
Atipuluan,Electrical Installation and Maintenance NC II,41,Female,Senior High,Wage Employed,Electrical Repair,Construction,Returning Learner,Graduate
Poblacion,Bread and Pastry NC II,18,Female,Junior High,Underemployed,Masonry,Construction,Career Shifter,Dropout
Taloc,Driving NC II,27,Male,Senior High,Unemployed,Driving,Transportation,Experienced Worker,Graduate
Dulao,Cookery NC II,22,Female,Elementary Graduate,Unemployed,Electrical Repair,Construction,Career Shifter,Graduate
Dulao,Cookery NC II,33,Female,Elementary Graduate,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Dulao,Computer Systems Servicing NC II,38,Female,Senior High,Unemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Abuanan,Electrical Installation and Maintenance NC II,25,Male,Junior High,Unemployed,Masonry,Construction,Career Shifter,Dropout
Taloc,Computer Systems Servicing NC II,26,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Caridad,Cookery NC II,28,Female,Senior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Poblacion,Bread and Pastry NC II,20,Female,College Undergraduate,Unemployed,Baking,Hospitality,New Entrant,Dropout
Busay,Shielded Metal Arc Welding NC I,37,Female,Elementary Graduate,Underemployed,Welding,Hospitality,Career Shifter,Dropout
Abuanan,Electrical Installation and Maintenance NC II,27,Male,Elementary Graduate,Unemployed,Welding,Construction,Returning Learner,Graduate
Binubuhan,Cookery NC II,39,Male,Junior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Malingin,Shielded Metal Arc Welding NC I,37,Female,Senior High,Unemployed,Welding,Construction,New Entrant,Graduate
Taloc,Cookery NC II,43,Male,Senior High,Self-employed,Cooking,Hospitality,Returning Learner,Dropout
Poblacion,Shielded Metal Arc Welding NC I,28,Male,Junior High,Unemployed,Welding,Construction,Returning Learner,Graduate
Lag-asan,Masonry NC II,35,Male,Senior High,Underemployed,Masonry,Construction,Experienced Worker,Graduate
Busay,Electrical Installation and Maintenance NC II,38,Male,Junior High,Underemployed,Electrical Repair,Construction,Career Shifter,Dropout
Dulao,Cookery NC II,27,Female,College Graduate,Self-employed,Cooking,Hospitality,Experienced Worker,Dropout
Atipuluan,Shielded Metal Arc Welding NC I,26,Male,College Undergraduate,Self-employed,Welding,Construction,Returning Learner,Graduate
Abuanan,Masonry NC II,19,Male,Senior High,Wage Employed,Carpentry,Construction,New Entrant,Graduate
Bagroy,Carpentry NC II,39,Male,Elementary Graduate,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Poblacion,Masonry NC II,35,Male,College Graduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Taloc,Carpentry NC II,30,Female,Senior High,Underemployed,Carpentry,Construction,Career Shifter,Graduate
Mailum,Masonry NC II,30,Male,Elementary Graduate,Unemployed,Masonry,Construction,Experienced Worker,Graduate
Busay,Computer Systems Servicing NC II,27,Female,Elementary Graduate,Underemployed,Computer Literacy,ICT,Returning Learner,Graduate
Lag-asan,Computer Systems Servicing NC II,27,Female,Senior High,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Calumangan,Cookery NC II,24,Female,Junior High,Self-employed,Cooking,Hospitality,Returning Learner,Graduate
Busay,Masonry NC II,26,Female,Senior High,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Abuanan,Bread and Pastry NC II,32,Male,Senior High,Unemployed,Masonry,Construction,Career Shifter,Dropout
Poblacion,Shielded Metal Arc Welding NC I,29,Male,Elementary Graduate,Self-employed,Welding,Construction,Experienced Worker,Graduate
Abuanan,Bread and Pastry NC II,44,Male,Senior High,Unemployed,Masonry,Construction,Career Shifter,Graduate
Lag-asan,Cookery NC II,45,Female,College Graduate,Unemployed,Cooking,Hospitality,Career Shifter,Graduate
Abuanan,Cookery NC II,43,Female,Senior High,Self-employed,Cooking,Hospitality,Returning Learner,Graduate
Malingin,Shielded Metal Arc Welding NC I,22,Male,Junior High,Underemployed,Welding,Construction,Experienced Worker,Graduate
Poblacion,Driving NC II,31,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Dropout
Ma-ao,Masonry NC II,36,Male,Junior High,Unemployed,Masonry,Construction,New Entrant,Graduate
Malingin,Computer Systems Servicing NC II,42,Female,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Dulao,Driving NC II,36,Male,Junior High,Underemployed,Driving,Transportation,Experienced Worker,Dropout
Atipuluan,Driving NC II,29,Male,College Undergraduate,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Mailum,Masonry NC II,19,Male,College Undergraduate,Unemployed,Masonry,Construction,Returning Learner,Dropout
Caridad,Cookery NC II,20,Male,Senior High,Underemployed,Carpentry,Construction,Returning Learner,Dropout
Busay,Computer Systems Servicing NC II,44,Female,Senior High,Underemployed,Computer Literacy,ICT,Returning Learner,Dropout
Mailum,Cookery NC II,32,Male,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Caridad,Shielded Metal Arc Welding NC I,23,Female,College Undergraduate,Underemployed,Welding,Construction,Returning Learner,Graduate
Alianza,Carpentry NC II,21,Male,Junior High,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Dulao,Masonry NC II,42,Male,Senior High,Unemployed,Masonry,Construction,New Entrant,Dropout
Pacol,Driving NC II,21,Male,Junior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Calumangan,Bread and Pastry NC II,21,Male,Senior High,Self-employed,Baking,Hospitality,Returning Learner,Graduate
Atipuluan,Electrical Installation and Maintenance NC II,34,Male,College Graduate,Self-employed,Electrical Repair,Hospitality,New Entrant,Graduate
Atipuluan,Driving NC II,27,Female,Junior High,Self-employed,Driving,Transportation,Returning Learner,Graduate
Abuanan,Driving NC II,29,Female,College Graduate,Underemployed,Driving,Construction,Experienced Worker,Graduate
Atipuluan,Cookery NC II,39,Male,Junior High,Underemployed,Cooking,Hospitality,Returning Learner,Graduate
Binubuhan,Carpentry NC II,39,Male,Junior High,Self-employed,Carpentry,Construction,Returning Learner,Dropout
Bacong,Bread and Pastry NC II,33,Female,Senior High,Underemployed,Baking,Hospitality,Experienced Worker,Graduate
Lag-asan,Bread and Pastry NC II,19,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Caridad,Cookery NC II,29,Female,Junior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Lag-asan,Bread and Pastry NC II,30,Female,College Undergraduate,Underemployed,Baking,Hospitality,New Entrant,Graduate
Ilijan,Driving NC II,31,Male,Junior High,Unemployed,Driving,Transportation,New Entrant,Graduate
Abuanan,Shielded Metal Arc Welding NC I,33,Male,Junior High,Self-employed,Welding,Construction,Returning Learner,Graduate
Lag-asan,Bread and Pastry NC II,39,Female,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Taloc,Driving NC II,27,Male,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Dulao,Shielded Metal Arc Welding NC I,18,Male,Junior High,Wage Employed,Electrical Repair,Construction,Career Shifter,Dropout
Busay,Electrical Installation and Maintenance NC II,24,Female,Junior High,Unemployed,Electrical Repair,Construction,Career Shifter,Dropout
Caridad,Computer Systems Servicing NC II,37,Male,College Graduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Sagasa,Cookery NC II,25,Male,Senior High,Underemployed,Cooking,Hospitality,Experienced Worker,Graduate
Pacol,Electrical Installation and Maintenance NC II,20,Male,Elementary Graduate,Self-employed,Electrical Repair,Construction,Experienced Worker,Dropout
Pacol,Cookery NC II,36,Male,Elementary Graduate,Unemployed,Cooking,Hospitality,New Entrant,Dropout
Lag-asan,Computer Systems Servicing NC II,52,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Ilijan,Masonry NC II,18,Female,Junior High,Unemployed,Masonry,Construction,Returning Learner,Dropout
Malingin,Shielded Metal Arc Welding NC I,32,Male,Senior High,Self-employed,Welding,Construction,Returning Learner,Graduate
Balingasag,Electrical Installation and Maintenance NC II,36,Male,Senior High,Wage Employed,Electrical Repair,Construction,Experienced Worker,Graduate
Calumangan,Shielded Metal Arc Welding NC I,27,Male,Elementary Graduate,Unemployed,Welding,Construction,Career Shifter,Graduate
Caridad,Masonry NC II,33,Male,Senior High,Unemployed,Masonry,Construction,New Entrant,Dropout
Balingasag,Shielded Metal Arc Welding NC I,28,Male,College Graduate,Wage Employed,Welding,Construction,Experienced Worker,Graduate
Poblacion,Masonry NC II,47,Male,College Undergraduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Calumangan,Shielded Metal Arc Welding NC I,27,Male,Senior High,Unemployed,Welding,Construction,Career Shifter,Graduate
Balingasag,Driving NC II,43,Male,Senior High,Self-employed,Driving,Transportation,Returning Learner,Graduate
Atipuluan,Carpentry NC II,22,Male,Elementary Graduate,Self-employed,Carpentry,Construction,Returning Learner,Graduate
Balingasag,Bread and Pastry NC II,24,Male,Senior High,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Poblacion,Carpentry NC II,38,Male,Junior High,Unemployed,Carpentry,Construction,New Entrant,Graduate
Busay,Carpentry NC II,35,Male,Elementary Graduate,Self-employed,Carpentry,Construction,Returning Learner,Graduate
Abuanan,Shielded Metal Arc Welding NC I,36,Male,Senior High,Self-employed,Welding,Construction,Experienced Worker,Graduate
Bagroy,Masonry NC II,24,Male,Junior High,Wage Employed,Masonry,Construction,Returning Learner,Dropout
Abuanan,Electrical Installation and Maintenance NC II,47,Female,College Undergraduate,Underemployed,Electrical Repair,Construction,New Entrant,Dropout
Taloc,Carpentry NC II,42,Male,Senior High,Unemployed,Carpentry,Construction,Returning Learner,Graduate
Dulao,Masonry NC II,39,Male,College Graduate,Unemployed,Masonry,Construction,Experienced Worker,Graduate
Calumangan,Electrical Installation and Maintenance NC II,18,Female,Junior High,Unemployed,Electrical Repair,Construction,Career Shifter,Dropout
Balingasag,Carpentry NC II,45,Male,College Graduate,Wage Employed,Carpentry,Construction,Returning Learner,Graduate
Calumangan,Masonry NC II,35,Female,College Undergraduate,Unemployed,Masonry,Construction,Returning Learner,Graduate
Lag-asan,Masonry NC II,18,Female,Senior High,Unemployed,Carpentry,Construction,Experienced Worker,Dropout
Bacong,Carpentry NC II,19,Male,Elementary Graduate,Underemployed,Carpentry,Construction,Returning Learner,Dropout
Caridad,Bread and Pastry NC II,19,Female,Senior High,Self-employed,Baking,Hospitality,New Entrant,Graduate
Bagroy,Shielded Metal Arc Welding NC I,40,Male,Elementary Graduate,Self-employed,Welding,Construction,Career Shifter,Dropout
Balingasag,Cookery NC II,25,Male,College Undergraduate,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Abuanan,Carpentry NC II,41,Female,Junior High,Unemployed,Carpentry,Construction,Experienced Worker,Graduate
Napoles,Cookery NC II,20,Female,Senior High,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Atipuluan,Masonry NC II,30,Male,College Undergraduate,Self-employed,Masonry,Construction,New Entrant,Dropout
Lag-asan,Shielded Metal Arc Welding NC I,28,Male,College Undergraduate,Wage Employed,Welding,Construction,Returning Learner,Graduate
Abuanan,Computer Systems Servicing NC II,27,Female,Senior High,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Calumangan,Masonry NC II,23,Male,Junior High,Underemployed,Masonry,Construction,Career Shifter,Graduate
Dulao,Bread and Pastry NC II,25,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Career Shifter,Graduate
Pacol,Computer Systems Servicing NC II,48,Male,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Calumangan,Carpentry NC II,28,Male,Elementary Graduate,Self-employed,Carpentry,Construction,Returning Learner,Dropout
Poblacion,Carpentry NC II,27,Male,Senior High,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Taloc,Masonry NC II,25,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Alianza,Computer Systems Servicing NC II,34,Male,Senior High,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Sagasa,Computer Systems Servicing NC II,34,Male,Elementary Graduate,Wage Employed,Carpentry,Construction,Experienced Worker,Dropout
Abuanan,Computer Systems Servicing NC II,44,Female,College Undergraduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Poblacion,Bread and Pastry NC II,24,Female,Senior High,Underemployed,Baking,Hospitality,Experienced Worker,Graduate
Napoles,Computer Systems Servicing NC II,40,Male,Junior High,Underemployed,Electrical Repair,Construction,Career Shifter,Graduate
Calumangan,Bread and Pastry NC II,30,Male,Senior High,Wage Employed,Baking,Hospitality,New Entrant,Graduate
Pacol,Carpentry NC II,18,Male,Elementary Graduate,Wage Employed,Carpentry,Agriculture,Returning Learner,Dropout
