barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Malingin,Electrical Installation and Maintenance NC II,43,Male,College Undergraduate,Underemployed,Electrical Repair,Business,Career Shifter,Dropout
Bagroy,HEO (Wheel Loader) NC II,34,Male,Senior High,Underemployed,Heavy Equipment Operation,Manufacturing,Experienced Worker,Graduate
Bagroy,Construction Painting NC II,25,Male,Elementary Graduate,Unemployed,Electronics,Manufacturing,Experienced Worker,Graduate
Napoles,Electrical Installation and Maintenance NC II,44,Male,Senior High,Wage Employed,Electrical Repair,Construction,Career Shifter,Dropout
Bacong,Carpentry NC II,41,Male,Junior High,Unemployed,Carpentry,Construction,New Entrant,Graduate
Calumangan,Organic Agriculture Production NC II,24,Female,Senior High,Self-employed,Organic Farming,Agriculture,Experienced Worker,Graduate
Dulao,Trainers Methodology Level I,34,Male,College Graduate,Wage Employed,Training Delivery,Education,Experienced Worker,Dropout
Binubuhan,Bookkeeping NC II,26,Male,College Undergraduate,Wage Employed,Bookkeeping,Business,Experienced Worker,Graduate
Dulao,Machining NC II,34,Female,Senior High,Underemployed,Machining,Manufacturing,Returning Learner,Graduate
Lag-asan,Carpentry NC II,19,Male,College Undergraduate,Wage Employed,Computer Literacy,ICT,New Entrant,Dropout
Ilijan,Electrical Installation and Maintenance NC II,32,Male,Junior High,Self-employed,Electrical Repair,Manufacturing,New Entrant,Dropout
Atipuluan,Driving NC II,39,Male,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Dropout
Bacong,Driving NC II,19,Male,Senior High,Unemployed,Driving,Transportation,New Entrant,Dropout
Poblacion,Carpentry NC II,40,Male,College Graduate,Wage Employed,Carpentry,Construction,Returning Learner,Graduate
Taloc,Carpentry NC II,39,Male,Elementary Graduate,Underemployed,Carpentry,Construction,New Entrant,Dropout
Calumangan,Electronic Products Assembly and Servicing NC II,40,Male,Senior High,Unemployed,Machining,Manufacturing,Career Shifter,Dropout
Caridad,Electronic Products Assembly and Servicing NC II,33,Female,Senior High,Self-employed,Electronics,Manufacturing,New Entrant,Dropout
Atipuluan,Landscape Installation and Maintenance (Softscape),32,Female,Junior High,Unemployed,Landscaping,Agriculture,Returning Learner,Dropout
Ma-ao,Driving NC II,42,Male,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Napoles,Cookery NC II,19,Female,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Calumangan,Trainers Methodology Level I,40,Male,College Undergraduate,Underemployed,Training Delivery,Education,Experienced Worker,Graduate
Bacong,Bookkeeping NC II,21,Female,Junior High,Underemployed,Bookkeeping,Business,Returning Learner,Dropout
Napoles,Organic Agriculture Production NC II,38,Male,Junior High,Unemployed,Organic Farming,Agriculture,New Entrant,Graduate
Calumangan,Cookery NC II,33,Female,Junior High,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Binubuhan,Construction Painting NC II,25,Male,Junior High,Underemployed,Painting,Construction,New Entrant,Dropout
Lag-asan,HEO (Wheel Loader) NC II,24,Male,College Undergraduate,Underemployed,Heavy Equipment Operation,Construction,New Entrant,Dropout
Taloc,Carpentry NC II,33,Male,Elementary Graduate,Unemployed,Carpentry,Construction,New Entrant,Dropout
Dulao,Computer Systems Servicing NC II,53,Male,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Sagasa,Bookkeeping NC II,39,Male,College Undergraduate,Unemployed,Computer Literacy,ICT,Career Shifter,Graduate
Napoles,Bookkeeping NC II,45,Female,Senior High,Underemployed,Bookkeeping,Business,New Entrant,Graduate
Sagasa,Electronic Products Assembly and Servicing NC II,25,Female,Senior High,Self-employed,Electronics,Manufacturing,Experienced Worker,Dropout
Sagasa,Bookkeeping NC II,22,Female,Senior High,Wage Employed,Bookkeeping,Business,Returning Learner,Dropout
Bacong,Computer Systems Servicing NC II,21,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Atipuluan,Driving NC II,30,Male,College Graduate,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Caridad,Construction Painting NC II,29,Female,Senior High,Self-employed,Painting,Construction,Experienced Worker,Dropout
Bagroy,Masonry NC I,33,Male,Senior High,Wage Employed,Masonry,Construction,Returning Learner,Dropout
Sagasa,Trainers Methodology Level I,29,Male,College Graduate,Underemployed,Training Delivery,Education,Returning Learner,Dropout
Bagroy,Carpentry NC II,36,Male,Senior High,Self-employed,Carpentry,Construction,New Entrant,Graduate
Dulao,Trainers Methodology Level I,42,Male,College Graduate,Self-employed,Training Delivery,Education,New Entrant,Graduate
Busay,Computer Systems Servicing NC II,33,Male,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Ilijan,Construction Painting NC II,42,Female,College Graduate,Self-employed,Painting,Construction,Experienced Worker,Dropout
Malingin,Computer Systems Servicing NC II,53,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Career Shifter,Graduate
Balingasag,Organic Agriculture Production NC II,19,Female,Junior High,Self-employed,Organic Farming,Agriculture,Returning Learner,Dropout
Tabunan,Computer Systems Servicing NC II,30,Male,Junior High,Underemployed,Driving,Transportation,Experienced Worker,Graduate
Mailum,Electronic Products Assembly and Servicing NC II,19,Female,Elementary Graduate,Self-employed,Bookkeeping,Business,Career Shifter,Dropout
Poblacion,Driving NC II,20,Male,Junior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Atipuluan,Trainers Methodology Level I,29,Male,College Graduate,Underemployed,Training Delivery,Education,Returning Learner,Graduate
Binubuhan,Landscape Installation and Maintenance (Softscape),30,Male,Junior High,Unemployed,Landscaping,Agriculture,New Entrant,Graduate
Bacong,Carpentry NC II,30,Male,Junior High,Wage Employed,Carpentry,Construction,Career Shifter,Graduate
Sagasa,Carpentry NC II,24,Female,Senior High,Wage Employed,Carpentry,Construction,Career Shifter,Graduate
Abuanan,Masonry NC II,30,Male,Senior High,Underemployed,Masonry,Construction,Experienced Worker,Graduate
Dulao,Bread and Pastry NC II,48,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Abuanan,Organic Agriculture Production NC II,49,Female,College Graduate,Wage Employed,Organic Farming,Agriculture,Returning Learner,Dropout
Taloc,Machining NC II,24,Male,Elementary Graduate,Self-employed,Machining,Manufacturing,Experienced Worker,Graduate
Pacol,Driving NC II,40,Male,College Graduate,Self-employed,Driving,ICT,Returning Learner,Graduate
Balingasag,Cookery NC II,23,Male,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Ilijan,Carpentry NC II,37,Male,Junior High,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Alianza,Carpentry NC II,23,Male,Senior High,Unemployed,Carpentry,Construction,Experienced Worker,Graduate
Malingin,Electronic Products Assembly and Servicing NC II,28,Male,Junior High,Self-employed,Electronics,Manufacturing,Returning Learner,Graduate
Abuanan,Landscape Installation and Maintenance (Softscape),28,Female,College Graduate,Self-employed,Landscaping,Agriculture,Experienced Worker,Graduate
Bagroy,Landscape Installation and Maintenance (Softscape),34,Male,Senior High,Self-employed,Landscaping,Agriculture,New Entrant,Graduate
Ma-ao,HEO (Wheel Loader) NC II,35,Male,Elementary Graduate,Unemployed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Pacol,Bread and Pastry NC II,32,Female,Elementary Graduate,Unemployed,Baking,Hospitality,New Entrant,Graduate
Napoles,Trainers Methodology Level I,23,Female,College Undergraduate,Unemployed,Training Delivery,Education,New Entrant,Graduate
Balingasag,Machining NC II,19,Male,Elementary Graduate,Unemployed,Masonry,Construction,Returning Learner,Graduate
Atipuluan,Driving NC II,25,Male,Junior High,Self-employed,Driving,Construction,Experienced Worker,Graduate
Binubuhan,Machining NC I,28,Male,Junior High,Self-employed,Machining,Manufacturing,Returning Learner,Dropout
Calumangan,Shielded Metal Arc Welding NC II,39,Female,Senior High,Unemployed,Welding,Construction,Experienced Worker,Dropout
Mailum,Machining NC I,33,Male,Junior High,Unemployed,Heavy Equipment Operation,Construction,New Entrant,Graduate
Poblacion,Electrical Installation and Maintenance NC II,37,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,Returning Learner,Dropout
Binubuhan,Bread and Pastry NC II,39,Male,Elementary Graduate,Unemployed,Baking,Hospitality,Experienced Worker,Graduate
Malingin,Trainers Methodology Level I,35,Male,College Graduate,Self-employed,Training Delivery,Education,Experienced Worker,Graduate
Busay,Electronic Products Assembly and Servicing NC II,39,Female,College Graduate,Underemployed,Electronics,Manufacturing,Returning Learner,Dropout
Pacol,Landscape Installation and Maintenance (Softscape),44,Male,Senior High,Self-employed,Landscaping,Agriculture,Returning Learner,Dropout
Busay,Carpentry NC II,35,Male,Elementary Graduate,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Pacol,Construction Painting NC II,25,Male,Junior High,Self-employed,Painting,Construction,Experienced Worker,Graduate
Calumangan,Electronic Products Assembly and Servicing NC II,20,Female,Senior High,Underemployed,Electronics,Manufacturing,Career Shifter,Graduate
Tabunan,Machining NC II,25,Male,Senior High,Wage Employed,Machining,Manufacturing,Experienced Worker,Graduate
Tabunan,Computer Systems Servicing NC II,44,Female,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Bagroy,Construction Painting NC II,41,Male,Senior High,Underemployed,Painting,Construction,Experienced Worker,Dropout
Busay,Driving NC II,38,Male,Elementary Graduate,Underemployed,Driving,Transportation,New Entrant,Graduate
Alianza,Machining NC II,38,Male,Senior High,Unemployed,Machining,Manufacturing,Experienced Worker,Graduate
Bacong,Landscape Installation and Maintenance (Softscape),32,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Bagroy,Trainers Methodology Level I,40,Female,Junior High,Unemployed,Training Delivery,Agriculture,New Entrant,Dropout
Tabunan,Shielded Metal Arc Welding NC II,34,Male,Elementary Graduate,Underemployed,Welding,Construction,New Entrant,Dropout
Abuanan,Masonry NC II,19,Male,Junior High,Unemployed,Masonry,Construction,Career Shifter,Graduate
Abuanan,Landscape Installation and Maintenance (Softscape),37,Male,Senior High,Underemployed,Masonry,Construction,Career Shifter,Dropout
Ma-ao,Construction Painting NC II,34,Female,Senior High,Unemployed,Painting,Construction,New Entrant,Graduate
Dulao,Carpentry NC II,32,Female,Junior High,Wage Employed,Carpentry,Construction,Returning Learner,Graduate
Malingin,Bookkeeping NC II,28,Female,Senior High,Unemployed,Bookkeeping,Business,Experienced Worker,Dropout
Atipuluan,Carpentry NC II,26,Male,Senior High,Self-employed,Carpentry,Construction,Returning Learner,Dropout
Malingin,Landscape Installation and Maintenance (Softscape),18,Male,Junior High,Unemployed,Landscaping,Agriculture,New Entrant,Dropout
Malingin,Electrical Installation and Maintenance NC II,19,Female,Senior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Balingasag,Construction Painting NC II,21,Male,Senior High,Unemployed,Painting,Construction,New Entrant,Dropout
Tabunan,Bread and Pastry NC II,27,Female,College Graduate,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Alianza,Construction Painting NC II,36,Male,Senior High,Underemployed,Painting,Construction,New Entrant,Dropout
Taloc,Driving NC II,29,Female,Senior High,Self-employed,Driving,Transportation,New Entrant,Graduate
Tabunan,Masonry NC I,27,Male,Elementary Graduate,Wage Employed,Masonry,Construction,Experienced Worker,Graduate
Lag-asan,Shielded Metal Arc Welding NC II,31,Male,Elementary Graduate,Unemployed,Welding,Construction,New Entrant,Dropout
Calumangan,Shielded Metal Arc Welding NC II,34,Male,Senior High,Wage Employed,Welding,Construction,Experienced Worker,Dropout
Malingin,Trainers Methodology Level I,34,Male,Senior High,Underemployed,Training Delivery,Hospitality,New Entrant,Graduate
Mailum,HEO (Bulldozer) NC II,32,Female,Junior High,Wage Employed,Driving,Transportation,Career Shifter,Graduate
Ilijan,HEO (Hydraulic Excavator) NC II,26,Male,Senior High,Unemployed,Bookkeeping,Business,Career Shifter,Dropout
Bacong,Bread and Pastry NC II,33,Male,College Graduate,Self-employed,Baking,Education,Experienced Worker,Graduate
Napoles,Shielded Metal Arc Welding NC II,20,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Malingin,Landscape Installation and Maintenance (Softscape),23,Male,College Undergraduate,Self-employed,Masonry,ICT,Returning Learner,Graduate
Atipuluan,Shielded Metal Arc Welding NC I,28,Male,College Undergraduate,Wage Employed,Welding,Construction,Experienced Worker,Dropout
Lag-asan,Computer Systems Servicing NC II,46,Male,College Undergraduate,Self-employed,Computer Literacy,ICT,New Entrant,Graduate
Mailum,Bookkeeping NC II,30,Female,Senior High,Wage Employed,Bookkeeping,ICT,Returning Learner,Dropout
Calumangan,Masonry NC II,22,Male,Senior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Sagasa,Landscape Installation and Maintenance (Softscape),37,Female,Junior High,Self-employed,Landscaping,Agriculture,Experienced Worker,Graduate
Atipuluan,Computer Systems Servicing NC II,27,Female,College Undergraduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Sagasa,Masonry NC I,19,Female,Junior High,Wage Employed,Masonry,Construction,Experienced Worker,Dropout
Mailum,Organic Agriculture Production NC II,36,Male,College Undergraduate,Wage Employed,Organic Farming,Agriculture,Returning Learner,Dropout
Sagasa,Driving NC II,21,Male,Elementary Graduate,Self-employed,Driving,Transportation,New Entrant,Dropout
Taloc,Construction Painting NC II,19,Male,Senior High,Unemployed,Painting,Construction,New Entrant,Dropout
Mailum,Machining NC I,45,Male,Senior High,Underemployed,Machining,Manufacturing,New Entrant,Dropout
Poblacion,HEO (Wheel Loader) NC II,37,Female,Senior High,Self-employed,Training Delivery,Education,Career Shifter,Dropout
Poblacion,Driving NC II,35,Male,College Undergraduate,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Binubuhan,HEO (Wheel Loader) NC II,23,Male,College Graduate,Wage Employed,Training Delivery,Education,Career Shifter,Graduate
Tabunan,Masonry NC II,23,Female,Senior High,Self-employed,Organic Farming,Agriculture,Career Shifter,Graduate
Poblacion,Shielded Metal Arc Welding NC II,28,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Ma-ao,HEO (Wheel Loader) NC II,32,Male,Senior High,Unemployed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Taloc,Masonry NC I,32,Male,Junior High,Unemployed,Masonry,Construction,Returning Learner,Dropout
Balingasag,Construction Painting NC II,38,Female,Junior High,Underemployed,Painting,Construction,Career Shifter,Graduate
Atipuluan,Masonry NC II,30,Male,Senior High,Wage Employed,Masonry,Construction,New Entrant,Dropout
Poblacion,Electronic Products Assembly and Servicing NC II,29,Female,Junior High,Underemployed,Electronics,Manufacturing,Career Shifter,Dropout
Ma-ao,Bread and Pastry NC II,30,Female,Junior High,Unemployed,Baking,Hospitality,Returning Learner,Graduate
Caridad,Electronic Products Assembly and Servicing NC II,21,Female,Junior High,Unemployed,Electronics,Manufacturing,Returning Learner,Dropout
Ma-ao,Masonry NC I,21,Male,Junior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Malingin,Electrical Installation and Maintenance NC II,33,Female,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Ilijan,Cookery NC II,33,Female,Junior High,Underemployed,Cooking,Hospitality,Returning Learner,Dropout
Balingasag,Construction Painting NC II,18,Male,Elementary Graduate,Underemployed,Cooking,Hospitality,Career Shifter,Dropout
Poblacion,Masonry NC II,43,Male,Senior High,Wage Employed,Masonry,Construction,Career Shifter,Graduate
Busay,Landscape Installation and Maintenance (Softscape),21,Female,Junior High,Unemployed,Landscaping,Agriculture,New Entrant,Dropout
Mailum,Masonry NC I,28,Male,Senior High,Unemployed,Masonry,Construction,Career Shifter,Dropout
Calumangan,Carpentry NC II,48,Female,College Undergraduate,Self-employed,Carpentry,ICT,New Entrant,Graduate
Caridad,Computer Systems Servicing NC II,27,Male,College Undergraduate,Unemployed,Computer Literacy,ICT,New Entrant,Dropout
Dulao,Landscape Installation and Maintenance (Softscape),36,Male,Junior High,Wage Employed,Landscaping,ICT,Experienced Worker,Graduate
Alianza,Cookery NC II,33,Male,Junior High,Unemployed,Cooking,Hospitality,New Entrant,Graduate
Busay,Landscape Installation and Maintenance (Softscape),31,Male,Elementary Graduate,Unemployed,Landscaping,Agriculture,New Entrant,Dropout
Tabunan,Trainers Methodology Level I,38,Female,Senior High,Underemployed,Training Delivery,Education,New Entrant,Graduate
Malingin,Electrical Installation and Maintenance NC II,29,Female,College Graduate,Underemployed,Electrical Repair,Construction,Experienced Worker,Dropout
Abuanan,Masonry NC I,33,Male,College Graduate,Self-employed,Masonry,Construction,Career Shifter,Graduate
Busay,Bookkeeping NC II,40,Male,Senior High,Unemployed,Training Delivery,Education,New Entrant,Dropout
Tabunan,Electronic Products Assembly and Servicing NC II,38,Female,Elementary Graduate,Wage Employed,Electronics,Manufacturing,Returning Learner,Graduate
Mailum,Masonry NC I,18,Male,Elementary Graduate,Unemployed,Masonry,Construction,Returning Learner,Graduate
Ilijan,Organic Agriculture Production NC II,18,Male,Junior High,Self-employed,Organic Farming,Agriculture,New Entrant,Dropout
Pacol,Electrical Installation and Maintenance NC II,42,Male,Junior High,Underemployed,Electrical Repair,Construction,Returning Learner,Graduate
Bagroy,Shielded Metal Arc Welding NC II,30,Male,Elementary Graduate,Wage Employed,Welding,Construction,New Entrant,Dropout
Binubuhan,Construction Painting NC II,20,Male,Elementary Graduate,Unemployed,Painting,Construction,New Entrant,Graduate
Malingin,Machining NC II,18,Female,Junior High,Unemployed,Landscaping,Agriculture,Career Shifter,Graduate
Sagasa,Bookkeeping NC II,24,Female,Junior High,Underemployed,Bookkeeping,Business,New Entrant,Dropout
Poblacion,Carpentry NC II,27,Male,Junior High,Underemployed,Carpentry,Construction,Experienced Worker,Dropout
Binubuhan,Driving NC II,25,Male,College Graduate,Self-employed,Painting,Construction,Career Shifter,Dropout
Calumangan,Carpentry NC II,45,Male,Senior High,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Lag-asan,HEO (Wheel Loader) NC II,35,Male,Senior High,Self-employed,Machining,Manufacturing,Career Shifter,Graduate
Tabunan,Cookery NC II,47,Male,College Undergraduate,Wage Employed,Cooking,Hospitality,Returning Learner,Graduate
Pacol,HEO (Forklift) NC II,53,Male,College Graduate,Self-employed,Heavy Equipment Operation,Construction,Career Shifter,Dropout
Alianza,HEO (Wheel Loader) NC II,25,Female,College Undergraduate,Wage Employed,Driving,Transportation,Returning Learner,Dropout
Malingin,Construction Painting NC II,42,Male,College Graduate,Unemployed,Painting,ICT,Career Shifter,Dropout
Ma-ao,Cookery NC II,37,Male,Senior High,Wage Employed,Landscaping,Agriculture,New Entrant,Dropout
Sagasa,Trainers Methodology Level I,44,Female,College Undergraduate,Self-employed,Training Delivery,Education,New Entrant,Graduate
Sagasa,Bread and Pastry NC II,34,Male,Senior High,Unemployed,Baking,Hospitality,Experienced Worker,Dropout
Alianza,Bookkeeping NC II,27,Male,Senior High,Underemployed,Bookkeeping,Business,New Entrant,Dropout
Tabunan,Carpentry NC II,42,Male,Junior High,Self-employed,Carpentry,Construction,Returning Learner,Dropout
Tabunan,Electronic Products Assembly and Servicing NC II,31,Male,Junior High,Wage Employed,Electronics,Manufacturing,Experienced Worker,Dropout
Napoles,Machining NC II,42,Male,Senior High,Underemployed,Machining,Manufacturing,Returning Learner,Dropout
Sagasa,Masonry NC I,29,Male,Elementary Graduate,Unemployed,Masonry,Construction,Returning Learner,Dropout
Balingasag,Electrical Installation and Maintenance NC II,34,Male,Junior High,Underemployed,Electrical Repair,Construction,Career Shifter,Dropout
Busay,Shielded Metal Arc Welding NC II,28,Male,Elementary Graduate,Underemployed,Welding,Construction,Experienced Worker,Graduate
Alianza,Trainers Methodology Level I,33,Female,Senior High,Self-employed,Training Delivery,Education,Returning Learner,Graduate
Busay,Trainers Methodology Level I,38,Male,Junior High,Underemployed,Training Delivery,Education,New Entrant,Graduate
Balingasag,Construction Painting NC II,38,Female,College Undergraduate,Self-employed,Painting,Construction,Experienced Worker,Graduate
Atipuluan,Carpentry NC II,23,Male,Junior High,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Pacol,Driving NC II,39,Male,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Abuanan,Shielded Metal Arc Welding NC I,33,Male,Senior High,Underemployed,Training Delivery,Education,Returning Learner,Graduate
Balingasag,Driving NC II,37,Male,Senior High,Wage Employed,Driving,Transportation,Experienced Worker,Dropout
Taloc,Organic Agriculture Production NC II,33,Male,Elementary Graduate,Self-employed,Organic Farming,Agriculture,Returning Learner,Graduate
Sagasa,HEO (Hydraulic Excavator) NC II,28,Male,College Undergraduate,Wage Employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Calumangan,Computer Systems Servicing NC II,33,Male,Senior High,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Tabunan,Computer Systems Servicing NC II,28,Male,Senior High,Unemployed,Computer Literacy,ICT,Returning Learner,Dropout
Malingin,Carpentry NC II,39,Male,Junior High,Unemployed,Carpentry,Construction,Career Shifter,Graduate
Dulao,Landscape Installation and Maintenance (Softscape),40,Male,Senior High,Underemployed,Landscaping,Agriculture,New Entrant,Graduate
Ma-ao,Masonry NC II,41,Female,Senior High,Unemployed,Masonry,Construction,New Entrant,Graduate
Abuanan,Carpentry NC II,33,Female,Junior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Taloc,Carpentry NC II,25,Male,Junior High,Unemployed,Carpentry,Construction,Returning Learner,Dropout
Taloc,HEO (Forklift) NC II,24,Female,Elementary Graduate,Underemployed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Taloc,Landscape Installation and Maintenance (Softscape),37,Female,Elementary Graduate,Unemployed,Landscaping,Agriculture,Career Shifter,Dropout
Poblacion,Bookkeeping NC II,39,Male,College Undergraduate,Unemployed,Bookkeeping,Business,New Entrant,Graduate
Bacong,Trainers Methodology Level I,44,Female,Senior High,Unemployed,Driving,Transportation,New Entrant,Dropout
Napoles,Landscape Installation and Maintenance (Softscape),45,Male,College Undergraduate,Self-employed,Landscaping,Agriculture,Experienced Worker,Dropout
Caridad,HEO (Wheel Loader) NC II,19,Male,College Undergraduate,Underemployed,Heavy Equipment Operation,Construction,Returning Learner,Graduate
Dulao,Computer Systems Servicing NC II,39,Male,College Undergraduate,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Napoles,Trainers Methodology Level I,38,Male,College Undergraduate,Wage Employed,Training Delivery,Education,Experienced Worker,Graduate
Mailum,HEO (Hydraulic Excavator) NC II,29,Male,Elementary Graduate,Wage Employed,Machining,Manufacturing,Career Shifter,Dropout
Ilijan,Computer Systems Servicing NC II,43,Male,College Undergraduate,Self-employed,Computer Literacy,Education,Returning Learner,Dropout
Dulao,Shielded Metal Arc Welding NC II,28,Male,Senior High,Self-employed,Welding,Construction,Career Shifter,Dropout
Ilijan,Driving NC II,23,Male,Junior High,Underemployed,Driving,Manufacturing,Returning Learner,Graduate
Balingasag,Shielded Metal Arc Welding NC I,22,Female,Senior High,Wage Employed,Welding,Construction,Returning Learner,Graduate
Sagasa,Construction Painting NC II,35,Male,Elementary Graduate,Underemployed,Painting,Construction,Career Shifter,Graduate
Caridad,Carpentry NC II,35,Male,Junior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Malingin,HEO (Hydraulic Excavator) NC II,40,Male,College Undergraduate,Underemployed,Heavy Equipment Operation,Construction,New Entrant,Dropout
Balingasag,Masonry NC I,41,Female,Senior High,Underemployed,Masonry,Construction,New Entrant,Dropout
Caridad,HEO (Forklift) NC II,42,Male,Senior High,Unemployed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Tabunan,Cookery NC II,35,Male,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
Abuanan,Trainers Methodology Level I,51,Male,College Graduate,Self-employed,Training Delivery,Education,Experienced Worker,Graduate
Abuanan,Construction Painting NC II,23,Male,Junior High,Underemployed,Painting,Construction,Career Shifter,Dropout
Bagroy,Masonry NC II,37,Male,Elementary Graduate,Underemployed,Masonry,Construction,Experienced Worker,Dropout
Taloc,Computer Systems Servicing NC II,47,Female,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Lag-asan,Construction Painting NC II,23,Male,Senior High,Unemployed,Painting,Construction,Experienced Worker,Graduate
Bacong,Cookery NC II,40,Female,Senior High,Self-employed,Electronics,Construction,Career Shifter,Graduate
Busay,Trainers Methodology Level I,37,Male,Senior High,Underemployed,Driving,Transportation,Career Shifter,Dropout
Busay,Construction Painting NC II,35,Male,Junior High,Unemployed,Painting,Construction,Experienced Worker,Dropout
Bagroy,Masonry NC II,39,Male,Senior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Abuanan,Electronic Products Assembly and Servicing NC II,21,Male,Junior High,Underemployed,Electronics,Manufacturing,New Entrant,Dropout
Pacol,Driving NC II,22,Male,College Undergraduate,Underemployed,Driving,Transportation,New Entrant,Graduate
Binubuhan,Construction Painting NC II,28,Male,Senior High,Underemployed,Painting,Agriculture,Experienced Worker,Graduate
Alianza,Landscape Installation and Maintenance (Softscape),28,Male,Senior High,Unemployed,Electronics,Hospitality,Returning Learner,Graduate
Dulao,HEO (Wheel Loader) NC II,39,Male,Senior High,Wage Employed,Heavy Equipment Operation,Construction,Experienced Worker,Graduate
Lag-asan,HEO (Forklift) NC II,36,Male,Junior High,Wage Employed,Heavy Equipment Operation,Transportation,Returning Learner,Dropout
Ilijan,Machining NC I,38,Male,Junior High,Unemployed,Machining,Manufacturing,New Entrant,Dropout
Poblacion,Machining NC I,26,Male,Senior High,Underemployed,Machining,Manufacturing,Experienced Worker,Dropout
Mailum,Driving NC II,37,Male,Junior High,Unemployed,Driving,Transportation,Returning Learner,Dropout
Ma-ao,Masonry NC I,40,Male,College Graduate,Self-employed,Masonry,Education,Experienced Worker,Dropout
Taloc,Masonry NC I,20,Male,Senior High,Unemployed,Masonry,Construction,Returning Learner,Dropout
Ma-ao,Masonry NC II,33,Male,Senior High,Self-employed,Masonry,Construction,Returning Learner,Graduate
Bagroy,HEO (Bulldozer) NC II,30,Male,Junior High,Unemployed,Heavy Equipment Operation,Construction,Career Shifter,Graduate
Abuanan,Computer Systems Servicing NC II,26,Male,Senior High,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Abuanan,Machining NC I,22,Male,Senior High,Self-employed,Electronics,Manufacturing,New Entrant,Dropout
Calumangan,Landscape Installation and Maintenance (Softscape),32,Male,Junior High,Wage Employed,Landscaping,Agriculture,Experienced Worker,Graduate
Lag-asan,Bookkeeping NC II,54,Male,College Graduate,Wage Employed,Bookkeeping,Business,New Entrant,Graduate
Atipuluan,Computer Systems Servicing NC II,53,Male,College Graduate,Underemployed,Computer Literacy,ICT,New Entrant,Dropout
Mailum,Bookkeeping NC II,23,Male,Junior High,Underemployed,Bookkeeping,Business,New Entrant,Graduate
Lag-asan,Organic Agriculture Production NC II,38,Male,Junior High,Underemployed,Organic Farming,Agriculture,New Entrant,Graduate
Binubuhan,Bookkeeping NC II,24,Male,Senior High,Unemployed,Bookkeeping,Business,New Entrant,Dropout
Ma-ao,Electrical Installation and Maintenance NC II,42,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Dropout
Binubuhan,Driving NC II,23,Male,Junior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Alianza,Landscape Installation and Maintenance (Softscape),36,Male,Junior High,Wage Employed,Landscaping,Manufacturing,Experienced Worker,Dropout
Mailum,Shielded Metal Arc Welding NC I,36,Male,College Graduate,Underemployed,Welding,Construction,Career Shifter,Graduate
Ilijan,Electronic Products Assembly and Servicing NC II,42,Female,Senior High,Self-employed,Baking,Hospitality,Career Shifter,Dropout
